len_title,len_abstract,num_authors,num_conflicts,num_tags,num_ivy_conflicts,num_big_four_conflicts,num_keywords_abstract,num_keywords_title,num_pages,num_sections,decision
6,210,3,2,2,0,1,1,0,14,7,Not Accept
7,187,3,5,2,0,0,2,0,18,7,Not Accept
5,156,3,2,2,0,0,1,0,9,7,Not Accept
5,181,5,5,2,0,0,0,0,16,12,Not Accept
6,132,3,1,1,0,0,1,0,14,11,Accept
7,160,9,11,2,0,0,1,0,19,4,Accept
9,208,4,2,2,0,0,1,0,13,4,Accept
8,109,3,1,1,1,0,1,0,23,14,Not Accept
9,181,5,4,3,0,0,1,0,22,16,Accept
9,199,2,7,2,0,1,0,0,13,8,Not Accept
10,134,4,1,2,0,0,1,0,19,13,Not Accept
8,151,4,1,2,0,0,1,0,15,10,Accept
8,159,5,3,2,1,0,1,0,22,12,Not Accept
7,215,2,3,3,0,0,1,0,13,8,Accept
6,155,4,1,1,0,1,1,0,12,9,Accept
8,157,5,7,2,0,0,2,0,17,8,Accept
8,113,4,1,2,0,0,1,0,11,7,Not Accept
12,164,1,3,4,0,0,1,0,9,6,Not Accept
9,272,4,1,1,0,0,2,0,18,9,Not Accept
3,151,5,2,3,0,0,1,0,10,10,Not Accept
7,82,4,2,2,0,0,1,0,16,11,Accept
3,131,2,1,2,0,0,1,0,11,4,Not Accept
7,173,3,1,4,0,1,0,0,13,10,Not Accept
10,157,2,1,3,0,0,1,0,14,6,Not Accept
8,152,3,3,3,0,0,1,0,14,11,Accept
5,128,2,1,1,0,0,0,0,12,6,Not Accept
8,118,4,1,1,0,0,0,0,14,0,Not Accept
8,174,2,1,2,0,0,2,0,9,5,Accept
8,134,4,3,2,0,0,0,0,4,5,Not Accept
3,119,2,1,1,0,0,0,0,8,4,Not Accept
12,176,3,1,1,0,0,1,0,14,10,Not Accept
6,156,3,2,3,0,0,0,0,17,12,Not Accept
11,235,3,3,1,0,0,1,0,36,21,Not Accept
8,195,3,4,3,0,0,0,0,11,8,Accept
11,218,3,1,3,0,0,1,0,14,12,Not Accept
10,236,4,3,5,0,0,0,0,30,11,Not Accept
11,112,2,1,2,0,0,0,0,11,9,Not Accept
12,140,4,2,2,0,0,0,0,17,16,Not Accept
7,182,3,3,3,0,0,1,0,11,10,Not Accept
8,145,4,2,3,0,0,1,0,9,10,Not Accept
5,112,5,1,3,0,0,1,0,15,8,Not Accept
15,193,3,2,4,0,0,1,0,22,15,Not Accept
8,186,4,2,3,0,0,2,0,14,10,Accept
7,125,4,1,2,0,0,1,0,13,10,Not Accept
3,145,4,3,1,0,0,2,0,20,10,Not Accept
11,130,3,1,4,0,0,2,1,12,8,Not Accept
5,180,2,1,1,0,0,3,0,13,4,Accept
